ofs_id;code;name_fr;name_de;name_it;name_en;name
19;AG;Argovie;Aargau;Argovia;Aargau;Aargau
16;AI;Appenzell Rhodes-Intérieures;Appenzell Innerrhoden;Appenzello Interno;Appenzell Innerrhoden;Appenzell Innerrhoden
15;AR;Appenzell Rhodes-Extérieures;Appenzell Ausserrhoden;Appenzello Esterno;Appenzell Ausserrhoden;Appenzell Ausserrhoden
2;BE;Berne;Bern;Berna;Bern;Bern
13;BL;Bâle-Campagne;Basel-Landschaft;Basilea Campagna;Basel-Landschaft;Basel-Landschaft
12;BS;Bâle-Ville;Basel-Stadt;Basilea Città;Basel-Stadt;Basel-Stadt
10;FR;Fribourg;Freiburg;Friburgo;Fribourg;Fribourg
25;GE;Genève;Genf;Ginevra;Geneva;Genève
8;GL;Glaris;Glarus;Glarona;Glarus;Glarus
18;GR;Grisons;Graubünden;Grigioni;Graubünden;Graubünden
26;JU;Jura;Jura;Giura;Jura;Jura
3;LU;Lucerne;Luzern;Lucerna;Luzern;Luzern
24;NE;Neuchâtel;Neuenburg;Neuchâtel;Neuchâtel;Neuchâtel
7;NW;Nidwald;Nidwalden;Nidvaldo;Nidwalden;Nidwalden
6;OW;Obwald;Obwalden;Obvaldo;Obwalden;Obwalden
17;SG;Saint-Gall;St. Gallen;San Gallo;St. Gallen;St. Gallen
14;SH;Schaffhouse;Schaffhausen;Sciaffusa;Schaffhausen;Schaffhausen
11;SO;Soleure;Solothurn;Soletta;Solothurn;Solothurn
5;SZ;Schwytz;Schwyz;Svitto;Schwyz;Schwyz
20;TG;Thurgovie;Thurgau;Turgovia;Thurgau;Thurgau
21;TI;Tessin;Tessin;Ticino;Ticino;Tessin
4;UR;Uri;Uri;Uri;Uri;Uri
22;VD;Vaud;Waadt;Vaud;Vaud;Vaud
23;VS;Valais;Wallis;Vallese;Valais;Valais
9;ZG;Zoug;Zug;Zugo;Zug;Zug
1;ZH;Zurich;Zürich;Zurigo;Zürich;Zürich